"","school","logo"
"83","UAB","https://cdn.d1baseball.com/logos/teams/256/uab.png"
"84","UTSA","https://cdn.d1baseball.com/logos/teams/256/utsa.png"
"85","Western Ky.","https://cdn.d1baseball.com/logos/teams/256/wkentucky.png"
"86","UIC","https://cdn.d1baseball.com/logos/teams/256/illchicago.png"
"87","Milwaukee","https://cdn.d1baseball.com/logos/teams/256/wiscmilw.png"
"88","Northern Ky.","https://cdn.d1baseball.com/logos/teams/256/nkentucky.png"
"89","Oakland","https://cdn.d1baseball.com/logos/teams/256/oakland.png"
"90","Wright St.","https://cdn.d1baseball.com/logos/teams/256/wrightst.png"
"91","Youngstown St.","https://cdn.d1baseball.com/logos/teams/256/youngst.png"
"92","Brown","https://cdn.d1baseball.com/logos/teams/256/brown.png"
"93","Cornell","https://cdn.d1baseball.com/logos/teams/256/cornell.png"
"94","Columbia","https://cdn.d1baseball.com/logos/teams/256/columbia.png"
"95","Dartmouth","https://cdn.d1baseball.com/logos/teams/256/dartmouth.png"
"96","Harvard","https://cdn.d1baseball.com/logos/teams/256/harvard.png"
"97","Penn","https://cdn.d1baseball.com/logos/teams/256/upenn.png"
"98","Princeton","https://cdn.d1baseball.com/logos/teams/256/princeton.png"
"99","Yale","https://cdn.d1baseball.com/logos/teams/256/yale.png"
"100","Canisius","https://cdn.d1baseball.com/logos/teams/256/canisius.png"
"101","Fairfield","https://cdn.d1baseball.com/logos/teams/256/fairfield.png"
"102","Iona","https://cdn.d1baseball.com/logos/teams/256/iona.png"
"103","Manhattan","https://cdn.d1baseball.com/logos/teams/256/manhattan.png"
"104","Marist","https://cdn.d1baseball.com/logos/teams/256/marist.png"
"105","Monmouth","https://cdn.d1baseball.com/logos/teams/256/monmouth.png"
"106","Niagara","https://cdn.d1baseball.com/logos/teams/256/niagara.png"
"107","Quinnipiac","https://cdn.d1baseball.com/logos/teams/256/quinnipiac.png"
"108","Rider","https://cdn.d1baseball.com/logos/teams/256/rider.png"
"109","Saint Peter's","https://cdn.d1baseball.com/logos/teams/256/stpeters.png"
"110","Siena","https://cdn.d1baseball.com/logos/teams/256/siena.png"
"111","Akron","https://cdn.d1baseball.com/logos/teams/256/akron.png"
"112","Ball St.","https://cdn.d1baseball.com/logos/teams/256/ballst.png"
"113","Bowling Green","https://cdn.d1baseball.com/logos/teams/256/bowlgreen.png"
"114","Central Mich.","https://cdn.d1baseball.com/logos/teams/256/cmichigan.png"
"115","Eastern Mich.","https://cdn.d1baseball.com/logos/teams/256/emichigan.png"
"116","Kent St.","https://cdn.d1baseball.com/logos/teams/256/kentst.png"
"117","Miami (OH)","https://cdn.d1baseball.com/logos/teams/256/miamioh.png"
"118","Northern Ill.","https://cdn.d1baseball.com/logos/teams/256/nillinois.png"
"119","Ohio","https://cdn.d1baseball.com/logos/teams/256/ohio.png"
"120","Toledo","https://cdn.d1baseball.com/logos/teams/256/toledo.png"
"121","Western Mich.","https://cdn.d1baseball.com/logos/teams/256/wmichigan.png"
"122","Bethune-Cookman","https://cdn.d1baseball.com/logos/teams/256/bethcook.png"
"123","Coppin St.","https://cdn.d1baseball.com/logos/teams/256/coppinst.png"
"124","Delaware St.","https://cdn.d1baseball.com/logos/teams/256/delawarest.png"
"125","Florida A&M","https://cdn.d1baseball.com/logos/teams/256/floridaam.png"
"126","Norfolk St.","https://cdn.d1baseball.com/logos/teams/256/norfolkst.png"
"127","N.C. A&T","https://cdn.d1baseball.com/logos/teams/256/ncat.png"
"128","N.C. Central","https://cdn.d1baseball.com/logos/teams/256/nccentral.png"
"129","UMES","https://cdn.d1baseball.com/logos/teams/256/umes.png"
"130","Bradley","https://cdn.d1baseball.com/logos/teams/256/bradley.png"
"131","DBU","https://cdn.d1baseball.com/logos/teams/256/dallasbapt.png"
"132","Evansville","https://cdn.d1baseball.com/logos/teams/256/evansville.png"
"133","Illinois St.","https://cdn.d1baseball.com/logos/teams/256/illinoisst.png"
"134","Indiana St.","https://cdn.d1baseball.com/logos/teams/256/indianast.png"
"135","Missouri St.","https://cdn.d1baseball.com/logos/teams/256/missourist.png"
"136","Southern Ill.","https://cdn.d1baseball.com/logos/teams/256/sillinois.png"
"137","Valparaiso","https://cdn.d1baseball.com/logos/teams/256/valpo.png"
"138","Air Force","https://cdn.d1baseball.com/logos/teams/256/airforce.png"
"139","Fresno St.","https://cdn.d1baseball.com/logos/teams/256/fresnost.png"
"140","Nevada","https://cdn.d1baseball.com/logos/teams/256/nevada.png"
"141","New Mexico","https://cdn.d1baseball.com/logos/teams/256/nmexico.png"
"142","San Diego St.","https://cdn.d1baseball.com/logos/teams/256/sandiegost.png"
"143","San Jose St.","https://cdn.d1baseball.com/logos/teams/256/sanjosest.png"
"144","UNLV","https://cdn.d1baseball.com/logos/teams/256/unlv.png"
"145","Bryant","https://cdn.d1baseball.com/logos/teams/256/bryant.png"
"146","Central Conn. St.","https://cdn.d1baseball.com/logos/teams/256/cconnst.png"
"147","Fairleigh Dickinson","https://cdn.d1baseball.com/logos/teams/256/fairldick.png"
"148","LIU Brooklyn","https://cdn.d1baseball.com/logos/teams/256/longisland.png"
"149","Merrimack","https://cdn.d1baseball.com/logos/teams/256/merrimack.png"
"150","Mount St. Mary's","https://cdn.d1baseball.com/logos/teams/256/mtstmarys.png"
"151","Sacred Heart","https://cdn.d1baseball.com/logos/teams/256/sacheart.png"
"152","Wagner","https://cdn.d1baseball.com/logos/teams/256/wagner.png"
"153","Austin Peay","https://cdn.d1baseball.com/logos/teams/256/austinpeay.png"
"154","Belmont","https://cdn.d1baseball.com/logos/teams/256/belmont.png"
"155","Eastern Ill.","https://cdn.d1baseball.com/logos/teams/256/eillinois.png"
"156","Eastern Ky.","https://cdn.d1baseball.com/logos/teams/256/ekentucky.png"
"157","Jacksonville St.","https://cdn.d1baseball.com/logos/teams/256/jksonvilst.png"
"158","Morehead St.","https://cdn.d1baseball.com/logos/teams/256/morehead.png"
"159","Murray St.","https://cdn.d1baseball.com/logos/teams/256/murrayst.png"
"160","SIUE","https://cdn.d1baseball.com/logos/teams/256/silledward.png"
"161","Southeast Mo. St.","https://cdn.d1baseball.com/logos/teams/256/semost.png"
"162","Tennessee Tech","https://cdn.d1baseball.com/logos/teams/256/tntech.png"
"163","UT Martin","https://cdn.d1baseball.com/logos/teams/256/tnmartin.png"
"164","Army West Point","https://cdn.d1baseball.com/logos/teams/256/army.png"
"165","Bucknell","https://cdn.d1baseball.com/logos/teams/256/bucknell.png"
"166","Holy Cross","https://cdn.d1baseball.com/logos/teams/256/holycross.png"
"167","Lafayette","https://cdn.d1baseball.com/logos/teams/256/lafayette.png"
"168","Lehigh","https://cdn.d1baseball.com/logos/teams/256/lehigh.png"
"169","Navy","https://cdn.d1baseball.com/logos/teams/256/navy.png"
"170","ETSU","https://cdn.d1baseball.com/logos/teams/256/etennst.png"
"171","Furman","https://cdn.d1baseball.com/logos/teams/256/furman.png"
"172","Mercer","https://cdn.d1baseball.com/logos/teams/256/mercer.png"
"173","Samford","https://cdn.d1baseball.com/logos/teams/256/samford.png"
"174","The Citadel","https://cdn.d1baseball.com/logos/teams/256/citadel.png"
"175","UNC Greensboro","https://cdn.d1baseball.com/logos/teams/256/uncgreen.png"
"176","VMI","https://cdn.d1baseball.com/logos/teams/256/vmi.png"
"177","Western Caro.","https://cdn.d1baseball.com/logos/teams/256/wcarolina.png"
"178","Wofford","https://cdn.d1baseball.com/logos/teams/256/wofford.png"
"179","Abilene Christian","https://cdn.d1baseball.com/logos/teams/256/abilchrist.png"
"180","Central Ark.","https://cdn.d1baseball.com/logos/teams/256/carkansas.png"
"181","Houston Baptist","https://cdn.d1baseball.com/logos/teams/256/houstnbapt.png"
"182","Incarnate Word","https://cdn.d1baseball.com/logos/teams/256/incarnword.png"
"183","Lamar University","https://cdn.d1baseball.com/logos/teams/256/lamar.png"
"184","McNeese","https://cdn.d1baseball.com/logos/teams/256/mcneese.png"
"185","New Orleans","https://cdn.d1baseball.com/logos/teams/256/norleans.png"
"186","Nicholls St.","https://cdn.d1baseball.com/logos/teams/256/nicholls.png"
"187","Northwestern St.","https://cdn.d1baseball.com/logos/teams/256/nwstate.png"
"188","Sam Houston St.","https://cdn.d1baseball.com/logos/teams/256/samhouston.png"
"189","Southeastern La.","https://cdn.d1baseball.com/logos/teams/256/sela.png"
"190","SFA","https://cdn.d1baseball.com/logos/teams/256/sfaustin.png"
"191","A&M-Corpus Christi","https://cdn.d1baseball.com/logos/teams/256/tamucc.png"
"192","Alabama A&M","https://cdn.d1baseball.com/logos/teams/256/alabamaam.png"
"193","Alabama St.","https://cdn.d1baseball.com/logos/teams/256/alabamast.png"
"194","Alcorn","https://cdn.d1baseball.com/logos/teams/256/alcornst.png"
"195","Ark.-Pine Bluff","https://cdn.d1baseball.com/logos/teams/256/arkansaspb.png"
"196","Grambling","https://cdn.d1baseball.com/logos/teams/256/grambling.png"
"197","Jackson St.","https://cdn.d1baseball.com/logos/teams/256/jacksonst.png"
"198","Mississippi Val.","https://mvsusports.com/images/logos/site/site.png"
"199","Prairie View","https://cdn.d1baseball.com/logos/teams/256/prairview.png"
"200","Southern U.","https://cdn.d1baseball.com/logos/teams/256/southernu.png"
"201","Texas Southern","https://cdn.d1baseball.com/logos/teams/256/txsouth.png"
"202","North Dakota St.","https://cdn.d1baseball.com/logos/teams/256/ndakotast.png"
"203","Omaha","https://cdn.d1baseball.com/logos/teams/256/nebomaha.png"
"204","Oral Roberts","https://cdn.d1baseball.com/logos/teams/256/oralrob.png"
"205","Purdue Fort Wayne","https://cdn.d1baseball.com/logos/teams/256/iupufw.png"
"206","South Dakota St.","https://cdn.d1baseball.com/logos/teams/256/sdakotast.png"
"207","Western Ill.","https://cdn.d1baseball.com/logos/teams/256/willinois.png"
"208","Appalachian St.","https://cdn.d1baseball.com/logos/teams/256/appalst.png"
"209","Arkansas St.","https://cdn.d1baseball.com/logos/teams/256/arkansasst.png"
"210","Coastal Caro.","https://cdn.d1baseball.com/logos/teams/256/coastcar.png"
"211","Ga. Southern","https://cdn.d1baseball.com/logos/teams/256/georgiasou.png"
"212","Georgia St.","https://cdn.d1baseball.com/logos/teams/256/georgiast.png"
"213","Little Rock","https://cdn.d1baseball.com/logos/teams/256/arkansaslr.png"
"214","Louisiana","https://cdn.d1baseball.com/logos/teams/256/ulala.png"
"215","South Alabama","https://cdn.d1baseball.com/logos/teams/256/salabama.png"
"216","Texas St.","https://cdn.d1baseball.com/logos/teams/256/txstate.png"
"217","Troy","https://cdn.d1baseball.com/logos/teams/256/troy.png"
"218","La.-Monroe","https://cdn.d1baseball.com/logos/teams/256/ulamo.png"
"219","UT Arlington","https://cdn.d1baseball.com/logos/teams/256/utarl.png"
"220","BYU","https://cdn.d1baseball.com/logos/teams/256/byu.png"
"221","Gonzaga","https://cdn.d1baseball.com/logos/teams/256/gonzaga.png"
"222","Loyola Marymount","https://cdn.d1baseball.com/logos/teams/256/loyolamary.png"
"223","Pacific","https://cdn.d1baseball.com/logos/teams/256/pacific.png"
"224","Pepperdine","https://cdn.d1baseball.com/logos/teams/256/pepperdine.png"
"225","Portland","https://cdn.d1baseball.com/logos/teams/256/portland.png"
"226","Saint Mary's (CA)","https://cdn.d1baseball.com/logos/teams/256/stmarysca.png"
"227","San Diego","https://cdn.d1baseball.com/logos/teams/256/sandiego.png"
"228","San Francisco","https://cdn.d1baseball.com/logos/teams/256/sanfran.png"
"229","Santa Clara","https://cdn.d1baseball.com/logos/teams/256/santaclara.png"
"230","CSU Bakersfield","https://cdn.d1baseball.com/logos/teams/256/calstbaker.png"
"231","California Baptist","https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/California_Baptist_Lancers_logo.svg/250px-California_Baptist_Lancers_logo.svg.png"
"232","Chicago St.","https://cdn.d1baseball.com/logos/teams/256/chicagost.png"
"233","Grand Canyon","https://cdn.d1baseball.com/logos/teams/256/gcanyon.png"
"234","New Mexico St.","https://cdn.d1baseball.com/logos/teams/256/nmstate.png"
"235","Northern Colo.","https://cdn.d1baseball.com/logos/teams/256/ncolorado.png"
"236","Sacramento St.","https://cdn.d1baseball.com/logos/teams/256/sacstate.png"
